Région,Delegation,Commune,Etablissement hospitalier,Catégorie,,Liste des abréviations,
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),Khémisset,HP,,,
Rabat-Salé-Kénitra,Khémisset,Rommani (Mun.),Roummani,HPr,,,
Rabat-Salé-Kénitra,Khémisset,Tiflet (Mun.),Tiflet,HPr,,,
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Ibn Sina,HIR,,,
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Hôpital Des Spécialités,HIR,,,
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Maternité Souissi,HIR,,,
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Hôpital D'enfants,HIR,,,
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Maternité Orangers,HIR,,,
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Med Ben Abdellah,HIR,,,
Rabat-Salé-Kénitra,Rabat,Hassan (Arrond.),My Youssef,HIR,,,
Rabat-Salé-Kénitra,Rabat,Hassan (Arrond.),Moulay Youssef (Ancien hôpital de Rabat),HR,,,
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),El Ayachi,HIR,,,
Rabat-Salé-Kénitra,Salé,Hssaine (Arrond.),Moulay Abdellah (Hôp.préféctoral),HP,,,
Rabat-Salé-Kénitra,Salé,Tabriquet (Arrond.),Arrazi,CPU,,,
Rabat-Salé-Kénitra,Sidi Kacem,Jorf El Melha (Mun.),Jorf Elmelha,HPr,,,
Rabat-Salé-Kénitra,Sidi Kacem,Sidi Kacem (Mun.),Sidi Kacem,HP,,,
Rabat-Salé-Kénitra,Sidi Slimane,Sidi Slimane (Mun.),Sidi Slimane,HP,,,
Rabat-Salé-Kénitra,Skhirate-Temara,Témara (Mun.),Princesse Lalla Aicha (Ancien Sidi Lahcen),HP,,,
Béni Mellal-Khénifra,Azilal,Azilal (Mun.),Haut Atlas Central,HP,,,
Béni Mellal-Khénifra,Azilal,Demnate (Mun.),Demnate,HPr,,,
Béni Mellal-Khénifra,Beni Mellal,Béni Mellal (Mun.),Beni Mellal,HR,,,
Béni Mellal-Khénifra,Beni Mellal,Kasba Tadla (Mun.),Moulay Ismail,HPr,,,
Béni Mellal-Khénifra,Beni Mellal,Ouled M'Barek,Beni Mellal,CRO,,,
Béni Mellal-Khénifra,Fkih Ben Saleh,Fquih Ben Salah (Mun.),Fquih Ben Salah,HP,,,
Béni Mellal-Khénifra,Fkih Ben Saleh,Fquih Ben Salah (Mun.),Souk Sebt,HPr,,,
Béni Mellal-Khénifra,Khenifra,Khenifra (Mun.),Khenifra,HP,,,
Béni Mellal-Khénifra,Khenifra,M'Rirt (Mun.),M'Rirt,HPr,,,
Béni Mellal-Khénifra,Khouribga,Bejaad (Mun.),Mohamed VI,HPr,,,
Béni Mellal-Khénifra,Khouribga,Khouribga (Mun.),Hassan II,HP,,,
Béni Mellal-Khénifra,Khouribga,Oued Zem (Mun.),Oued.Zem,HPr,,,
Casablanca-Settat,Benslimane,Benslimane (Mun.),Benslimane (Hassan II),HP,,,
Casablanca-Settat,Berrechid,Berrechid (Mun.),Berrchid,HP,,,
Casablanca-Settat,Berrechid,Berrechid (Mun.),Errazi,HPsyP,,,
Casablanca-Settat,El Jadida,Azemmour (Mun.),Azemmour,HPr,,,
Casablanca-Settat,El Jadida,El Jadida (Mun.),Mohamed V,HP,,,
Casablanca-Settat,Mediouna,Mediouna (Mun.),Mediouna,HP,,,
Casablanca-Settat,Mediouna,Sidi Hajjaj Oued Hassar,Tit Mellil,HPsyP,,,
Casablanca-Settat,Mohammedia,Mohammadia (Mun.),My Abdellah,HP,,,
Casablanca-Settat,Nouaceur,Bouskoura (Mun.),Bouskoura,HPr,,,
Casablanca-Settat,Nouaceur,Dar Bouazza (Mun.),Prince My Hassan,HP,,,
Casablanca-Settat,Settat,Ben Ahmed (Mun.),Ben Ahmed,HPr,,,
Casablanca-Settat,Settat,Settat (Mun.),Hassan II,HP,,,
Casablanca-Settat,Sidi Bennour,Sidi Bennour (Mun.),Sidi Bennour,HP,,,
Casablanca-Settat,Sidi Bennour,Zemamra (Mun.),Zmamra,HPr,,,
Casablanca-Settat,Casablanca Anfa,El Maarif (Arrond.),20 Aout 1953,HIR,,,
Casablanca-Settat,Casablanca Anfa,El Maarif (Arrond.),Ibn Rochd,HIR,,,
Casablanca-Settat,Casablanca Anfa,El Maarif (Arrond.),Hôpital D'enfants,HIR,,,
Casablanca-Settat,Casablanca Anfa,Sidi Belyout (Arrond.),My Youssef,HR,,,
Casablanca-Settat,Al Fida-Mers Sultan,Al-Fida (Arrond.),Mohamed Baouafi,HP,,,
Casablanca-Settat,Aïn Sebaâ-Hay Mohammadi,Hay Mohammadi (Arrond.),Mohamed V,HP,,,
Casablanca-Settat,Hay Hassani,Hay-Hassani (Arrond.),El Hassani,HP,,,
Casablanca-Settat,Aïn Chok,Aîn-Chock (Arrond.),Centre de Léprologie,HP,,,
Casablanca-Settat,Aïn Chok,Aîn-Chock (Arrond.),Mohamed Sekkat,HP,,,
Casablanca-Settat,Sidi Bernoussi,Sidi Bernoussi (Arrond.),Al Mansour,HP,,,
Casablanca-Settat,Sidi Bernoussi,Sidi Moumen (Arrond.),HPr Sidi Moumen,HPr,,,
Casablanca-Settat,Ben Msick,Ben M'Sick (Arrond.),Ben Msick,HP,,,
Casablanca-Settat,Moulay Rachid,Sidi Othmane (Arrond.),Sidi Othmane,HP,,,
Marrakech-Safi,Al Haouz,Tahannaout (Mun.),Mohammed VI,HP,,,
Marrakech-Safi,Chichaoua,Chichaoua (Mun.),Mohamed Vi,HP,,,
Marrakech-Safi,El Kelaa Des Sraghna,El Kelaâ des Sraghna (Mun.),Assalama,HP,,,
Marrakech-Safi,El Kelaa Des Sraghna,El Kelaâ des Sraghna (Mun.),Hôpital psychiatrique,HPsyP,,,
Marrakech-Safi,El Kelaa Des Sraghna,Tamallalt (Mun.),Princesse Lalla Khadija,HPr,,,
Marrakech-Safi,Essaouira,Essaouira (Mun.),Sidi Med Ben Abdellah,HP,,,
Marrakech-Safi,Marrakech,Gueliz (Arrond.),Ibn Tofeil,HIR,,,
Marrakech-Safi,Marrakech,Gueliz (Arrond.),Ibn Nafis,CPU,,,
Marrakech-Safi,Marrakech,Gueliz (Arrond.),Hopital Mère-Enfant,HIR,,,
Marrakech-Safi,Marrakech,Gueliz (Arrond.),Centre d'Hématologie Oncologie,HIR,,,
Marrakech-Safi,Marrakech,Gueliz (Arrond.),Arrazi,HIR,,,
Marrakech-Safi,Marrakech,Marrakech-Médina (Arrond.),Ibn Zohr,HR,,,
Marrakech-Safi,Marrakech,Marrakech-Médina (Arrond.),El Antaki,HR,,,
Marrakech-Safi,Marrakech,Ménara (Arrond.),Mhamid,HPr,,,
Marrakech-Safi,Marrakech,Sidi Youssef Ben Ali (Arrond.),Charifa,HPr,,,
Marrakech-Safi,Marrakech,Saada,Saada,HPsyR,,,
Marrakech-Safi,Rehamena,Ben Guerir (Mun.),Benguerir,HP,,,
Marrakech-Safi,Safi,Safi (Mun.),Mohamed V,HP,,,
Marrakech-Safi,Safi,Safi (Mun.),Aisha,HPr,,,
Marrakech-Safi,Youssoufia,Youssoufia (Mun.),Lalla Hasna,HP,,,
Drâa-Tafilalet,Errachidia,Arfoud (Mun.),Sghiri Houmman I Ben Maati,HPr,,,
Drâa-Tafilalet,Errachidia,Errachidia (Mun.),My Ali Cherif,HR,,,
Drâa-Tafilalet,Errachidia,Errachidia (Mun.),Hôpital Amir Soultan Ibn Abdelaziz,HP,,,
Drâa-Tafilalet,Errachidia,Goulmima (Mun.),20 Aout (Goulmima),HPr,,,
Drâa-Tafilalet,Midelt,Midelt (Mun.),Midelt,HP,,,
Drâa-Tafilalet,Midelt,Er-rich (Mun.),HPr Rich,HPr,,,
Drâa-Tafilalet,Ouarzazate,Ouarzazate (Mun.),Sidi Hssain Bencer,HP,,,
Drâa-Tafilalet,Ouarzazate,Ouarzazate (Mun.),Bougafer,HP,,,
Drâa-Tafilalet,Tinghir,Kalaat M'Gouna (Mun.),HPr Kalaat M'gouna,HPr,,,
Drâa-Tafilalet,Tinghir,Tinghir (Mun.),Tinghir,HP,,,
Drâa-Tafilalet,Zagora,Zagora (Mun.),Ed-Derrak,HP,,,
Souss-Massa,Agadir Ida Ou Tanane,Agadir (Mun.),Hassan II,HR,,,
Souss-Massa,Agadir Ida Ou Tanane,Agadir (Mun.),C. d'Oncologie d'Agadir,CRO,,,
Souss-Massa,Chtouka Ait Baha,Biougra (Mun.),Mokhtar Soussi,HP,,,
Souss-Massa,Inezgane Ait Melloul,Inezgane (Mun.),Inezgane,HP,,,
Souss-Massa,Taroudant,Oulad Teima (Mun.),Oulad Teima,HPr,,,
Souss-Massa,Taroudant,Taroudannt (Mun.),Mokhtar Es-Soussi,HP,,,
Souss-Massa,Tata,Tata (Mun.),Tata,HP,,,
Souss-Massa,Tiznit,Tiznit (Mun.),Hassan 1er,HP,,,
Souss-Massa,Tiznit,Tiznit (Mun.),Houmman El Fatouaki,HP,,,
Guelmim-Oued Noun,Assa-zag,Assa (Mun.),Assa,HP,,,
Guelmim-Oued Noun,Guelmim,Bouizakarne (Mun.),Bouizakaren,HPr,,,
Guelmim-Oued Noun,Guelmim,Guelmim (Mun.),Guelmim,HR,,,
Guelmim-Oued Noun,Sidi Ifni,Sidi Ifni (Mun.),Sidi Ifni,HP,,,
Guelmim-Oued Noun,Tan Tan,Tan Tan (Mun.),Hassan II,HP,,,
Laayoune-Sakia El Hamra,Boujdour,Boujdour (Mun.),Boujdour,HP,,,
Laayoune-Sakia El Hamra,Es Semara,Es-semara (Mun.),Es-Smara,HP,,,
Laayoune-Sakia El Hamra,Laayoune,Laayoune (Mun.),My Hassan Ben El Mehdi,HR,,,
Laayoune-Sakia El Hamra,Laayoune,Laayoune (Mun.),Hassan II,HR,,,
Laayoune-Sakia El Hamra,Laayoune,Laayoune (Mun.),Laayoune,CRO,,,
Eddakhla-Oued Eddahab,Oued Ed-Dahab,Dakhla (Mun.),Hassan II,HR,,,
